Devis_ID	Unité	Client	Type_Travail	Montant_HT	Coefficient	Numéro_OA	Count_OA	Statut	État	Description	Date_RFQ	Acheteur
PI25221	SABC_Ndokoti	Boissons du Cameroun	Fourniture_Pose	0	1	Lost	0	Annulé	Closed	Audit Chemin de Cable	2025-04-25	François Atangana
PI25222	DANGOTE_Yde	DANGOTE CEMENT SA	Fourniture_Pose	0	1	Lost	0	Terminé	Closed	REHABILITATION OF LIGHTING AND ELCTRICAL COMPONENTS	2025-04-29	Iloga Gerard
PI25223	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	85000	1.7	Regul	1	Terminé	Closed	SUPPLY OF 16Go RAM	2025-05-02	Iloga Gerard
PI25224	SABC_Yaounde	Boissons du Cameroun	Fourniture	7664798	1.4	Lost	0	Terminé	Closed	DEMANDE D'OFFRE MATERIEL CIP CHAUDE BLOC FROID YAOUNDE	2025-05-02	
PI25225	SABC_Koumassi	Boissons du Cameroun	Fourniture	1175040	1.5	Lost	0	Terminé	Closed	Remplacer TI CO2 union HS	2025-05-05	Jean Bossango
PI25226	SABC_Yaounde	Boissons du Cameroun	Fourniture	1198541	1.4	Lost	0	Terminé	Closed	Commande urgente des contrôleurs de réseaux d'alimentation triphasée pour compresseurs d'air	2025-05-05	
PI25227	SABC_Yaounde	Boissons du Cameroun	Fourniture	6642240	1.5	Lost	0	Terminé	Closed	Commande urgente compteurs d'énergie pour
remplacement compteurs défectueux (MATAL, PEG
TC, POSTE PT1, SILO MAÏS, TGBT SDM TC (3))	2025-05-05	
PI25228	SABC_Garoua	Boissons du Cameroun	Fourniture	3707200	1.4	Lost	0	Terminé	Closed	POUR MAGASINS MPC USINE ET LOCAUX VINS CENTRE COMMERCIAL SOUARI.	2025-05-05	Jean Bossango
PI25229	DIXSTONE	Dixstone Operations Cameroun	Fourniture	1970000	1.42	Lost	0	Terminé	Closed	Sirène d’alarme pour le yard DOS	2025-05-02	Sarah Edoul
PI25230	SABC_Ndokoti	Boissons du Cameroun	Fourniture	1075200	1.5	Lost	0	Terminé	Closed	FILTRE POUR CENTRALE DE LUBRIFICATION DES LIGNE 16 ET 14	2025-05-05	Jean Bossango
PI25231	HBO-BTP	HBO	Etudes	500000	1	Lost	0	Terminé	Closed	Etudes d'un R+1 Japoma	2025-05-05	
PI25232	DANGOTE_Yde	DANGOTE CEMENT SA	Fourniture_Pose	3104200	1.4	Lost	0	Terminé	Closed	Travaux d'eclairage exterieur et batiment 	2025-04-18	
PI25233	SEMC	SEMC	Fourniture_Pose	9181200	1.2	Lost	0	Terminé	Closed	Travaux Mebleurie et Electrification Salle de reunion	2025-05-06	Germain Olivier Pondi
PI25234	CBI	CBI SARL	Fourniture	15527030	1.71	Lost	0	Terminé	Closed	Fourniture equipements electriques	2025-05-05	
PI25235	SOCAPALM_Bambou	SOCAPALM	Fourniture_Pose	3545000	1	Lost	0	Terminé	Closed	amelioration valeur prise de terre neutre local transformateur	2025-04-25	Patrick RANDRIAMISATA
PI25236	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	4190400	1.5	Lost	0	Terminé	Closed	CONSULTATION DCC2505-13 PURCHASE OF CARBON BRUSH HOLDERS FOR 40X20X40MM	2025-05-22	Lambi Mandjeck
